CLASS           RARITY          EXPANSION           MANA AND NAME
NONE            LEGENDARY       CLASSIC             9 Ysera
NONE            LEGENDARY       CLASSIC             10 Deathwing
NONE            LEGENDARY       NAXXRAMAS           4 Baron Rivendare
NONE            LEGENDARY       NAXXRAMAS           5 Feugen
NONE            LEGENDARY       NAXXRAMAS           5 Loatheb
NONE            LEGENDARY       NAXXRAMAS           5 Stalagg
NONE            LEGENDARY       NAXXRAMAS           6 Maexxna
NONE            LEGENDARY       NAXXRAMAS           8 Kel'Thuzad
NONE            LEGENDARY       GvG                 5 Blingtron 3000
NONE            LEGENDARY       GvG                 5 Hemet Nesingwary
NONE            LEGENDARY       GvG                 5 Mimiron's Head
NONE            LEGENDARY       GvG                 6 Gazlowe
NONE            LEGENDARY       GvG                 6 Mogor the Ogre
NONE            LEGENDARY       GvG                 6 Toshley
NONE            LEGENDARY       GvG                 7 Dr. Boom
NONE            LEGENDARY       GvG                 7 Troggzor the Earthinator
NONE            LEGENDARY       GvG                 8 Foe Reaper 4000
NONE            LEGENDARY       GvG                 8 Sneed's Old Shredder
NONE            LEGENDARY       GvG                 9 Mekgineer Thermaplugg
NONE            LEGENDARY       BM                  6 Emperor Thaurissan
NONE            LEGENDARY       BM                  7 Rend Blackhand
NONE            LEGENDARY       BM                  8 Chromaggus
NONE            LEGENDARY       BM                  9 Majordomo Executus
NONE            LEGENDARY       BM                  9 Nefarian
DRUID           BASIC           CLASSIC             0 Innervate
DRUID           BASIC           CLASSIC             0 Moonfire
DRUID           BASIC           CLASSIC             1 Claw
DRUID           BASIC           CLASSIC             2 Mark of the Wild
DRUID           BASIC           CLASSIC             2 Wild Growth
DRUID           BASIC           CLASSIC             3 Healing Touch
DRUID           BASIC           CLASSIC             3 Savage Roar
DRUID           BASIC           CLASSIC             4 Swipe
DRUID           BASIC           CLASSIC             5 Starfire
DRUID           BASIC           CLASSIC             8 Ironbark Protector
DRUID           COMMON          CLASSIC             1 Naturalize
DRUID           COMMON          CLASSIC             2 Power of the Wild
DRUID           COMMON          CLASSIC             2 Wrath
DRUID           COMMON          CLASSIC             3 Mark of Nature
DRUID           COMMON          CLASSIC             4 Soul of the Forest
DRUID           COMMON          CLASSIC             5 Druid of the Claw
DRUID           COMMON          NAXXRAMAS           4 Poison Seeds
DRUID           COMMON          GvG                 2 Anodized Robo Cub
DRUID           COMMON          GvG                 5 Druid of the Fang
DRUID           COMMON          BM                  3 Druid of the Flame
DRUID           RARE            CLASSIC             1 Savagery
DRUID           RARE            CLASSIC             4 Keeper of the Grove
DRUID           RARE            CLASSIC             5 Nourish
DRUID           RARE            CLASSIC             5 Starfall
DRUID           RARE            GvG                 3 Grove Tender
DRUID           RARE            GvG                 6 Recycle
DRUID           RARE            GvG                 6 Mech-Bear-Cat
DRUID           RARE            BM                  9 Volcanic Lumberer
DRUID           EPIC            CLASSIC             6 Force of Nature
DRUID           EPIC            CLASSIC             7 Ancient of Lore
DRUID           EPIC            CLASSIC             7 Ancient of War
DRUID           EPIC            GvG                 6 Dark Wispers
DRUID           EPIC            GvG                 9 Tree of Life
DRUID           LEGENDARY       CLASSIC             9 Cenarius
DRUID           LEGENDARY       GvG                 7 Malorne
HUNTER          BASIC           CLASSIC             0 Hunter's Mark
HUNTER          BASIC           CLASSIC             1 Arcane Shot
HUNTER          BASIC           CLASSIC             1 Timber Wolf
HUNTER          BASIC           CLASSIC             1 Tracking
HUNTER          BASIC           CLASSIC             3 Animal Companion
HUNTER          BASIC           CLASSIC             3 Kill Command
HUNTER          BASIC           CLASSIC             4 Multi-Shot
HUNTER          BASIC           CLASSIC             4 Houndmaster
HUNTER          BASIC           CLASSIC             5 Starving Buzzard
HUNTER          BASIC           CLASSIC             5 Tundra Rhino
HUNTER          COMMON          CLASSIC             2 Explosive Trap
HUNTER          COMMON          CLASSIC             2 Freezing Trap
HUNTER          COMMON          CLASSIC             2 Snipe
HUNTER          COMMON          CLASSIC             2 Scavenging Hyena
HUNTER          COMMON          CLASSIC             3 Deadly Shot
HUNTER          COMMON          CLASSIC             3 Unleash the Hounds
HUNTER          COMMON          NAXXRAMAS           1 Webspinner
HUNTER          COMMON          GvG                 2 Glaivezooka
HUNTER          COMMON          GvG                 5 Cobra Shot
HUNTER          COMMON          BM                  2 Quick Shot
HUNTER          RARE            CLASSIC             2 Flare
HUNTER          RARE            CLASSIC             2 Misdirection
HUNTER          RARE            CLASSIC             3 Eaglehorn Bow
HUNTER          RARE            CLASSIC             5 Explosive Shot
HUNTER          RARE            CLASSIC             6 Savannah Highmane
HUNTER          RARE            GvG                 2 Call Pet
HUNTER          RARE            GvG                 3 Metaltooth Leaper
HUNTER          RARE            GvG                 5 King of Beasts
HUNTER          RARE            BM                  4 Core Rager
HUNTER          EPIC            CLASSIC             1 Bestial Wrath
HUNTER          EPIC            CLASSIC             2 Snake Trap
HUNTER          EPIC            CLASSIC             7 Gladiator's Longbow
HUNTER          EPIC            GvG                 2 Feign Death
HUNTER          EPIC            GvG                 2 Steamwheedle Sniper
HUNTER          LEGENDARY       CLASSIC             9 King Krush
HUNTER          LEGENDARY       GvG                 7 Gahz'rilla
MAGE            BASIC           CLASSIC             1 Arcane Missiles
MAGE            BASIC           CLASSIC             1 Mirror Image
MAGE            BASIC           CLASSIC             2 Arcane Explosion
MAGE            BASIC           CLASSIC             2 Frostbolt
MAGE            BASIC           CLASSIC             3 Arcane Intellect
MAGE            BASIC           CLASSIC             3 Frost Nova
MAGE            BASIC           CLASSIC             4 Fireball
MAGE            BASIC           CLASSIC             4 Polymorph
MAGE            BASIC           CLASSIC             4 Water Elemental
MAGE            BASIC           CLASSIC             7 Flamestrike
MAGE            COMMON          CLASSIC             1 Ice Lance
MAGE            COMMON          CLASSIC             1 Mana Wyrm
MAGE            COMMON          CLASSIC             2 Sorcerer's Apprentice
MAGE            COMMON          CLASSIC             3 Ice Barrier
MAGE            COMMON          CLASSIC             3 Mirror Entity
MAGE            COMMON          CLASSIC             4 Cone of Cold
MAGE            COMMON          NAXXRAMAS           3 Duplicate
MAGE            COMMON          GvG                 2 Flamecannon
MAGE            COMMON          GvG                 2 Snowchugger
MAGE            COMMON          BM                  5 Dragon's Breath
MAGE            RARE            CLASSIC             3 Counterspell
MAGE            RARE            CLASSIC             3 Vaporize
MAGE            RARE            CLASSIC             3 Kirin Tor Mage
MAGE            RARE            CLASSIC             4 Ethereal Arcanist
MAGE            RARE            CLASSIC             6 Blizzard
MAGE            RARE            GvG                 2 Unstable Portal
MAGE            RARE            GvG                 3 Soot Spewer
MAGE            RARE            GvG                 4 Goblin Blastmage
MAGE            RARE            BM                  3 Flamewaker
MAGE            EPIC            CLASSIC             3 Ice Block
MAGE            EPIC            CLASSIC             3 Spellbender
MAGE            EPIC            CLASSIC             10 Pyroblast
MAGE            EPIC            GvG                 4 Echo of Medivh
MAGE            EPIC            GvG                 4 Wee Spellstopper
MAGE            LEGENDARY       CLASSIC             7 Archmage Antonidas
MAGE            LEGENDARY       GvG                 7 Flame Leviathan
PALADIN         BASIC           CLASSIC             1 Light's Justice
PALADIN         BASIC           CLASSIC             1 Blessing of Might
PALADIN         BASIC           CLASSIC             1 Hand of Protection
PALADIN         BASIC           CLASSIC             1 Humility
PALADIN         BASIC           CLASSIC             2 Holy Light
PALADIN         BASIC           CLASSIC             4 Truesilver Champion
PALADIN         BASIC           CLASSIC             4 Blessing of Kings
PALADIN         BASIC           CLASSIC             4 Consecration
PALADIN         BASIC           CLASSIC             4 Hammer of Wrath
PALADIN         BASIC           CLASSIC             7 Guardian of Kings
PALADIN         COMMON          CLASSIC             1 Blessing of Wisdom
PALADIN         COMMON          CLASSIC             1 Eye for an Eye
PALADIN         COMMON          CLASSIC             1 Noble Sacrifice
PALADIN         COMMON          CLASSIC             1 Redemption
PALADIN         COMMON          CLASSIC             1 Repentance
PALADIN         COMMON          CLASSIC             2 Argent Protector
PALADIN         COMMON          NAXXRAMAS           1 Avenge
PALADIN         COMMON          GvG                 2 Seal of Light
PALADIN         COMMON          GvG                 2 Shielded Minibot
PALADIN         COMMON          BM                  5 Solemn Vigil
PALADIN         RARE            CLASSIC             2 Equality
PALADIN         RARE            CLASSIC             3 Divine Favor
PALADIN         RARE            CLASSIC             3 Aldor Peacekeeper
PALADIN         RARE            CLASSIC             5 Blessed Champion
PALADIN         RARE            CLASSIC             5 Holy Wrath
PALADIN         RARE            GvG                 3 Muster for Battle
PALADIN         RARE            GvG                 3 Scarlet Purifier
PALADIN         RARE            GvG                 5 Cobalt Guardian
PALADIN         RARE            BM                  5 Dragon Consort
PALADIN         EPIC            CLASSIC             3 Sword of Justice
PALADIN         EPIC            CLASSIC             6 Avenging Wrath
PALADIN         EPIC            CLASSIC             8 Lay on Hands
PALADIN         EPIC            GvG                 3 Coghammer
PALADIN         EPIC            GvG                 5 Quartermaster
PALADIN         LEGENDARY       CLASSIC             8 Tirion Fordring
PALADIN         LEGENDARY       GvG                 5 Bolvar Fordragon
PRIEST          BASIC           CLASSIC             1 Holy Smite
PRIEST          BASIC           CLASSIC             1 Mind Vision
PRIEST          BASIC           CLASSIC             1 Power Word: Shield
PRIEST          BASIC           CLASSIC             1 Northshire Cleric
PRIEST          BASIC           CLASSIC             2 Divine Spirit
PRIEST          BASIC           CLASSIC             2 Mind Blast
PRIEST          BASIC           CLASSIC             2 Shadow Word: Pain
PRIEST          BASIC           CLASSIC             3 Shadow Word: Death
PRIEST          BASIC           CLASSIC             5 Holy Nova
PRIEST          BASIC           CLASSIC             10 Mind Control
PRIEST          COMMON          CLASSIC             0 Circle of Healing
PRIEST          COMMON          CLASSIC             0 Silence
PRIEST          COMMON          CLASSIC             1Inner Fire
PRIEST          COMMON          CLASSIC             3 Thoughtsteal
PRIEST          COMMON          CLASSIC             4 Lightspawn
PRIEST          COMMON          CLASSIC             6 Temple Enforcer
PRIEST          COMMON          NAXXRAMAS           3 Dark Cultist
PRIEST          COMMON          GvG                 2 Shrinkmeister
PRIEST          COMMON          GvG                 3 Velen's Chosen
PRIEST          COMMON          BM                  1 Twilight Whelp
PRIEST          RARE            CLASSIC             2 Lightwell
PRIEST          RARE            CLASSIC             4 Mass Dispel
PRIEST          RARE            CLASSIC             4 Shadow Madness
PRIEST          RARE            CLASSIC             4 Auchenai Soulpriest
PRIEST          RARE            CLASSIC             6 Holy Fire
PRIEST          RARE            GvG                 1 Light of the Naaru
PRIEST          RARE            GvG                 2 Shadowboxer
PRIEST          RARE            GvG                 5 Upgraded Repair Bot
PRIEST          RARE            BM                  2 Resurrect
PRIEST          EPIC            CLASSIC             3 Shadowform
PRIEST          EPIC            CLASSIC             4 Mindgames
PRIEST          EPIC            CLASSIC             6 Cabal Shadow Priest
PRIEST          EPIC            GvG                 1 Shadowbomber
PRIEST          EPIC            GvG                 6 Lightbomb
PRIEST          LEGENDARY       CLASSIC             7 Prophet Velen
PRIEST          LEGENDARY       GvG                 5 Vol'jin
ROGUE           BASIC           CLASSIC             0 Backstab
ROGUE           BASIC           CLASSIC             1 Deadly Poison
ROGUE           BASIC           CLASSIC             1 Sinister Strike
ROGUE           BASIC           CLASSIC             2 Sap
ROGUE           BASIC           CLASSIC             2 Shiv
ROGUE           BASIC           CLASSIC             3 Fan of Knives
ROGUE           BASIC           CLASSIC             5 Assassin's Blade
ROGUE           BASIC           CLASSIC             5 Assassinate
ROGUE           BASIC           CLASSIC             6 Vanish
ROGUE           BASIC           CLASSIC             7 Sprint
ROGUE           COMMON          CLASSIC             0 Shadowstep
ROGUE           COMMON          CLASSIC             1 Cold Blood
ROGUE           COMMON          CLASSIC             1 Conceal
ROGUE           COMMON          CLASSIC             2 Betrayal
ROGUE           COMMON          CLASSIC             2 Eviscerate
ROGUE           COMMON          CLASSIC             2 Defias Ringleader
ROGUE           COMMON          NAXXRAMAS           4 Anub'ar Ambusher
ROGUE           COMMON          GvG                 2 Goblin Auto-Barber
ROGUE           COMMON          GvG                 4 Tinker's Sharpsword Oil
ROGUE           COMMON          BM                  2 Gang Up
ROGUE           RARE            CLASSIC             2 Blade Flurry
ROGUE           RARE            CLASSIC             3 Perdition's Blade
ROGUE           RARE            CLASSIC             3 Headcrack
ROGUE           RARE            CLASSIC             3 SI:7 Agent
ROGUE           RARE            CLASSIC             4 Master of Disguise
ROGUE           RARE            GvG                 2 One-eyed Cheat
ROGUE           RARE            GvG                 3 Iron Sensai
ROGUE           RARE            GvG                 5 Ogre Ninja
ROGUE           RARE            BM                  5 Dark Iron Skulker
ROGUE           EPIC            CLASSIC             0 Preparation
ROGUE           EPIC            CLASSIC             2 Patient Assassin
ROGUE           EPIC            CLASSIC             6 Kidnapper
ROGUE           EPIC            GvG                 3 Cogmaster's Wrench
ROGUE           EPIC            GvG                 4 Sabotage
ROGUE           LEGENDARY       CLASSIC             3 Edwin VanCleef
ROGUE           LEGENDARY       GvG                 6 Trade Prince Gallywix
SHAMAN          BASIC           CLASSIC             0 Ancestral Healing
SHAMAN          BASIC           CLASSIC             0 Totemic Might
SHAMAN          BASIC           CLASSIC             1 Frost Shock
SHAMAN          BASIC           CLASSIC             1 Rockbiter Weapon
SHAMAN          BASIC           CLASSIC             2 Windfury
SHAMAN          BASIC           CLASSIC             2 Flametongue Totem
SHAMAN          BASIC           CLASSIC             3 Hex
SHAMAN          BASIC           CLASSIC             4 Windspeaker
SHAMAN          BASIC           CLASSIC             5 Bloodlust
SHAMAN          BASIC           CLASSIC             6 Fire Elemental
SHAMAN          COMMON          CLASSIC             1 Earth Shock
SHAMAN          COMMON          CLASSIC             1 Forked Lightning
SHAMAN          COMMON          CLASSIC             1 Lightning Bolt
SHAMAN          COMMON          CLASSIC             1 Dust Devil
SHAMAN          COMMON          CLASSIC             2 Stormforged Axe
SHAMAN          COMMON          CLASSIC             3 Unbound Elemental
SHAMAN          COMMON          NAXXRAMAS           2 Reincarnate
SHAMAN          COMMON          GvG                 2 Crackle
SHAMAN          COMMON          GvG                 2 Whirling Zap-o-matic
SHAMAN          COMMON          BM                  4 Fireguard Destroyer
SHAMAN          RARE            CLASSIC             2 Ancestral Spirit
SHAMAN          RARE            CLASSIC             3 Feral Spirit
SHAMAN          RARE            CLASSIC             3 Lava Burst
SHAMAN          RARE            CLASSIC             3 Lightning Storm
SHAMAN          RARE            CLASSIC             3 Mana Tide Totem
SHAMAN          RARE            GvG                 2 Vitality Totem
SHAMAN          RARE            GvG                 3 Powermace
SHAMAN          RARE            GvG                 4 Dunemaul Shaman
SHAMAN          RARE            BM                  2 Lava Shock
SHAMAN          EPIC            CLASSIC             3 Far Sight
SHAMAN          EPIC            CLASSIC             5 Doomhammer
SHAMAN          EPIC            CLASSIC             5 Earth Elemental
SHAMAN          EPIC            GvG                 4 Ancestor's Call
SHAMAN          EPIC            GvG                 4 Siltfin Spiritwalker
SHAMAN          LEGENDARY       CLASSIC             8 Al'Akir the Windlord
SHAMAN          LEGENDARY       GvG                 7 Neptulon
WARLOCK         BASIC           CLASSIC             0 Sacrificial Pact
WARLOCK         BASIC           CLASSIC             1 Corruption
WARLOCK         BASIC           CLASSIC             1 Mortal Coil
WARLOCK         BASIC           CLASSIC             1 Soulfire
WARLOCK         BASIC           CLASSIC             1 Voidwalker
WARLOCK         BASIC           CLASSIC             2 Succubus
WARLOCK         BASIC           CLASSIC             3 Drain Life
WARLOCK         BASIC           CLASSIC             3 Shadow Bolt
WARLOCK         BASIC           CLASSIC             4 Hellfire
WARLOCK         BASIC           CLASSIC             6 Dread Infernal
WARLOCK         COMMON          CLASSIC             1 Power Overwhelming
WARLOCK         COMMON          CLASSIC             1 Blood Imp
WARLOCK         COMMON          CLASSIC             1 Flame Imp
WARLOCK         COMMON          CLASSIC             2 Demonfire
WARLOCK         COMMON          CLASSIC             3 Sense Demons
WARLOCK         COMMON          CLASSIC             4 Summoning Portal
WARLOCK         COMMON          NAXXRAMAS           4 Voidcaller
WARLOCK         COMMON          GvG                 2 Darkbomb
WARLOCK         COMMON          GvG                 5 Floating Watcher
WARLOCK         COMMON          BM                  3 Imp Gang Boss
WARLOCK         RARE            CLASSIC             3 Felguard
WARLOCK         RARE            CLASSIC             3 Void Terror
WARLOCK         RARE            CLASSIC             4 Shadowflame
WARLOCK         RARE            CLASSIC             5 Doomguard
WARLOCK         RARE            CLASSIC             6 Siphon Soul
